,Unnamed: 0_x,variable,Eigenvalues_x,cumulative_x,Unnamed: 0_y,Eigenvalues_y,cumulative_y,Unnamed: 0,Eigenvalues,cumulative
0,0,1,0.27975164785647594,0.27975164785647594,0,0.26660670474521925,0.26660670474521925,0,0.2955626193107189,0.2955626193107189
1,1,2,0.2065220556238504,0.4862737034803264,1,0.18994955954744544,0.4565562642926647,1,0.19240147333079385,0.4879640926415128
2,2,3,0.08434917229014631,0.5706228757704727,2,0.10459947149054603,0.5611557357832108,2,0.0893788709363215,0.5773429635778342
3,3,4,0.07313905116026258,0.6437619269307352,3,0.07858757829911171,0.6397433140823224,3,0.07556000948695793,0.6529029730647922
4,4,5,0.061652321865247585,0.7054142487959828,4,0.06688269164470269,0.7066260057270252,4,0.060857674249961025,0.7137606473147532
5,5,6,0.05764006777434226,0.7630543165703251,5,0.05703020145502667,0.7636562071820518,5,0.05497438954413426,0.7687350368588874
6,6,7,0.049287088450351436,0.8123414050206765,6,0.04859054559092866,0.8122467527729805,6,0.05070857611701583,0.8194436129759033
7,7,8,0.042513564276118215,0.8548549692967947,7,0.0463622611381172,0.8586090139110978,7,0.039972580790737865,0.8594161937666411
8,8,9,0.03837797195897845,0.8932329412557731,8,0.037111189818993855,0.8957202037300916,8,0.03653196336666612,0.8959481571333072
9,9,10,0.03060942004540083,0.923842361301174,9,0.030474669679571693,0.9261948734096632,9,0.02948068574151428,0.9254288428748216
10,10,11,0.02358594507276344,0.9474283063739374,10,0.02139696399669768,0.947591837406361,10,0.022999002819454325,0.948427845694276
11,11,12,0.015984344957936974,0.9634126513318744,11,0.015471410997154074,0.9630632484035152,11,0.01579029547999232,0.9642181411742682
12,12,13,0.013581430411000264,0.9769940817428746,12,0.013316825628091021,0.976380074031606,12,0.013716150274669795,0.977934291448938
13,13,14,0.012765529154038478,0.9897596108969132,13,0.011491743077306724,0.9878718171089128,13,0.00976532097809596,0.987699612427034
14,14,15,0.007490540079986948,0.9972501509769,14,0.00942180087728273,0.9972936179861956,14,0.009071636425073271,0.9967712488521072
15,15,16,0.0027498490230997647,0.9999999999999998,15,0.002705871256017392,0.9999994892422128,15,0.003228726030673409,0.9999999748827804
16,16,17,5.3156023751384137e-33,0.9999999999999998,16,5.10757786884136e-07,0.9999999999999998,16,2.51172193293621e-08,0.9999999999999998
