,size,value
0,1,500.02935868342166
1,2,251.10791146991605
2,3,165.42918991649614
3,4,125.60166854207334
4,5,99.69809949740068
5,6,83.35094268312177
6,7,71.25032655129502
7,8,62.73033092440306
8,9,55.3381667213235
9,10,49.439408598675506
10,11,45.538143237264734
11,12,41.82155862987314
12,13,38.757210019928834
13,14,36.20428946659706
14,15,33.71149726997579
15,16,31.456941180280868
16,17,29.491976424619594
17,18,27.857861145803408
18,19,26.597756630074596
